"Rank","Player","Team","Bye","POS","ESPN","RTSports","MFL","Fantrax","FFC","Sleeper","AVG"
"1","Antonio Brown","WR1","","","1","1","1","","1.0"
"229","Davante Adams","GB","4","WR77","","","207","229","","","222.7"
"230","Charles Johnson","WR78","","","255","186","","","223.3"
"231","Tim Hightower","RB71","","","233","210","","","224.3"
"232","Keith Marshall","RB72","","","212","262","","","225.0"
"233","Tony Romo","QB28","","","181","179","","","180.0"
"234","Alex Smith","QB29","","","182","246","","","227.7"
"235","Kenjon Barner","TB","6","RB73","","","259","211","","","227.7"
"236","Karlos Williams","RB74","","","272","216","","","229.0"
"237","Ronnie Hillman","RB75","","","257","187","","","231.7"
"238","Quinton Patton","WR79","","","275","171","","","233.3"
"239","Robert Woods","LAR","8","WR80","","","218","248","","","234.7"
"240","Braxton Miller","WR81","","","232","204","","","235.3"
"241","Matt Prater","ARI","9","K14","","","","285","194","","235.7"
"242","Jamison Crowder","NYJ","11","WR82","","","224","268","","","237.7"
"243","Dan Carpenter","K15","","","","182","","","196.5"
"244","Cameron Artis-Payne","RB76","","","241","227","","","238.7"
"245","Will Tye","TE28","","","206","241","","","239.3"
"246","Malcolm Mitchell","WR83","","","231","249","","","241.0"
"247","Jermaine Kearse","WR84","","","216","266","","","242.0"
"248","Carson Wentz","IND","10","QB30","","","250","245","","","243.0"
"249","Pittsburgh Steelers","DST","8","DST16","","","217","","","","210.0"
"250","Danny Amendola","HOU","9","WR85","","","256","234","","","249.0"
"251","Andre Ellington","RB77","","","267","225","","","249.3"
"252","Kenyan Drake","LV","","RB78","","","279","190","","","249.7"
"253","Benjamin Watson","TE29","","","205","226","","","215.5"
"254","Justin Hardy","CHI","9","WR86","","","","197","","","217.0"
"255","Zach Zenner","RB79","","","268","243","","","252.7"
"256","Benny Cunningham Jr.","RB80","","","262","277","","","254.7"
"257","Brandon LaFell","WR87","","","249","254","","","254.7"
"258","Sam Bradford","QB31","","","223","280","","","255.0"
"259","Pharoh Cooper","NYG","8","WR88","","","244","244","","","255.7"
"260","Tyler Higbee","LAR","8","TE30","","","253","224","","","256.3"
"261","Lance Dunbar","RB81","","","","238","","","225.0"
"262","Jacob Tamme","TE31","","","269","183","","","274.3"
"263","Jonathan Williams","WAS","9","RB82","","","254","252","","","259.3"
"264","New York Giants","DST","8","DST17","","","239","","","","229.0"
"265","Cameron Brate","TB","6","TE32","","","248","239","","","260.7"
"266","Richard Rodgers","PHI","4","TE33","","","243","258","","","263.0"
"267","Bruce Ellington","WR89","","","152","317","","","234.5"
"268","Jimmy Garoppolo","SF","8","QB32","","","277","192","","","286.0"
"269","Reggie Bush","RB83","","","266","293","","","264.7"
"270","Marqise Lee","WR90","","","","206","","","240.5"
"271","Kenny Britt","WR91","","","260","269","","","268.3"
"272","Rueben Randle","WR92","","","","219","","","242.0"
"273","Tyler Ervin","RB84","","","274","259","","","269.0"
"274","Hunter Henry","NE","9","TE34","","","251","235","","","281.7"
"275","Chris Conley","HOU","9","WR93","","","246","314","","","270.0"
"276","J.J. Nelson","IND","10","WR94","","","282","236","","","273.0"
"277","Robert Turbin","RB85","","","281","270","","","273.0"
"278","Ka'Deem Carey","RB86","","","","240","","","250.0"
"279","Blaine Gabbert","TB","6","QB33","","","242","294","","","274.0"
"280","Larry Donnell","TE35","","","265","","","","250.5"
"281","Jeff Janis","WR95","","","","233","","","251.0"
"282","Jace Amaro","TE36","","","","180","","","288.0"
"283","Jerell Adams","TE37","","","","184","","","292.0"
"284","Alfred Blue","RB87","","","","274","","","253.5"
"285","Mike Gillislee","RB88","","","264","306","","","278.7"
"286","Teddy Bridgewater","DEN","11","QB34","","","204","311","","","257.5"
"287","Brandon Coleman","WR96","","","","220","","","259.0"
"288","Paxton Lynch","QB35","","","271","247","","","302.0"
"289","Cole Beasley","BUF","10","WR97","","","280","287","","","283.0"
"290","Tyler Kroft","NYJ","11","TE38","","","","209","","","332.5"
"291","Seth Roberts","WR98","","","276","291","","","284.7"
"292","Alex Collins","SEA","5","RB89","","","","231","","","266.5"
"293","Andre Johnson","WR99","","","","271","","","269.0"
"294","Crockett Gillmore","TE39","","","258","","","","271.0"
"295","Tyrell Williams","WR100","","","245","312","","","290.3"
"296","Antonio Andrews","RB90","","","","273","","","275.0"
"297","Jared Goff","DET","10","QB36","","","283","267","","","319.0"
"298","Jacksonville Jaguars","DST","5","DST18","","","234","","","","374.5"
"299","Daniel Lasco","RB91","","","","265","","","280.5"
"300","DeAndre Smelter","WR101","","","","","","","242.0"
"301","Jared Abbrederis","WR102","","","261","","","","282.0"
"302","Eddie Royal","WR103","","","","301","","","282.0"
"303","Khiry Robinson","RB92","","","","275","","","284.0"
"304","D.J. Foster","RB93","","","","305","","","284.5"
"305","Roberto Aguayo","K16","","","","250","","","385.5"
"306","Josh Brown","K17","","","","251","","","385.5"
"307","Washington Football Team","DST","9","DST19","","","252","","","","385.0"
"308","Darrius Heyward-Bey","WR104","","","","272","","","288.0"
"309","James Jones","WR105","","","","286","","","288.0"
"310","Robbie Gould","SF","8","K18","","","","257","","","390.5"
"311","Tre Mason","RB94","","","","276","","","291.0"
"312","Nick Novak","K19","","","","260","","","394.5"
"313","Matt Bryant","K20","","","","261","","","393.5"
"314","Mike Thomas","WR106","","","","263","","","296.0"
"315","Baltimore Ravens","DST","8","DST20","","","263","","","","389.5"
"316","Steve Johnson","WR107","","","","264","","","264.0"
"317","Dexter McCluster","RB95","","","","289","","","294.0"
"318","Austin Hooper","CLE","13","TE40","","","270","","","","323.0"
"319","Trent Richardson","RB96","","","","","","","273.0"
"320","Maxx Williams","ARI","9","TE41","","","273","","","","332.0"
"321","Stevan Ridley","RB97","","","","278","","","298.0"
"322","Knile Davis","RB98","","","","282","","","298.5"
"323","Nate Washington","WR108","","","","290","","","299.5"
"324","Andre Williams","RB99","","","","","","","278.0"
"325","Miami Dolphins","DST","8","DST21","","","278","","","","396.0"
"326","Josh Lambo","K21","","","","279","","","401.0"
"327","Marquess Wilson","WR109","","","","","","","281.0"
"328","Colin Kaepernick","QB37","","","","281","","","342.5"
"329","Dwayne Washington","NO","5","RB100","","","","","","","283.0"
"330","Connor Barth","K22","","","","283","","","406.5"
"331","Leonte Carroo","WR110","","","284","","","","304.5"
"332","Mike Nugent","K23","","","","284","","","403.0"
"333","Case Keenum","CLE","13","QB38","","","","","","","285.0"
"334","Tampa Bay Buccaneers","DST","6","DST22","","","285","","","","402.0"
"335","Kyle Juszczyk","SF","8","RB101","","","","288","","","304.0"
"336","Mike Tolbert","RB102","","","","303","","","304.0"
"337","Indianapolis Colts","DST","10","DST23","","","286","","","","411.0"
"338","Detroit Lions","DST","10","DST24","","","287","","","","402.0"
"339","Dallas Cowboys","DST","7","DST25","","","288","","","","412.5"
"340","David Cobb","RB103","","","","","","","289.0"
"341","Dontrelle Inman","WR111","","","","292","","","305.5"
"342","Chicago Bears","DST","9","DST26","","","289","","","","407.0"
"343","San Francisco 49ers","DST","8","DST27","","","290","","","","410.5"
"344","Brian Quick","WR112","","","","","","","291.0"
"345","Tennessee Titans","DST","13","DST28","","","291","","","","415.5"
"346","Los Angeles Chargers","DST","","DST29","","","292","","","","416.5"
"347","Atlanta Falcons","DST","11","DST30","","","293","","","","293.0"
"348","Cleveland Browns","DST","13","DST31","","","294","","","","294.0"
"349","Kelvin Taylor","RB104","","","","","","","294.0"
"350","New Orleans Saints","DST","5","DST32","","","295","","","","295.0"
"351","Roddy White","WR113","","","","295","","","316.0"
"352","Harry Douglas","WR114","","","","296","","","329.0"
"353","TJ Jones","WR115","","","","","","","297.0"
"354","Jason Myers","SEA","5","K24","","","","297","","","414.5"
"355","Dustin Hopkins","LAC","","K25","","","","298","","","415.5"
"356","Cecil Shorts","WR116","","","","299","","","330.0"
"357","Denard Robinson","RB105","","","","","","","300.0"
"358","Dwayne Harris","WR117","","","","300","","","320.5"
"359","Jonathan Grimes","RB106","","","","302","","","322.0"
"360","Andrew Hawkins","WR118","","","","","","","307.0"
"361","Brent Celek","TE42","","","","307","","","364.0"
"362","Cordarrelle Patterson","ATL","11","RB107","","","","","","","308.0"
"363","Mark Sanchez","QB39","","","","308","","","358.0"
"364","Phil Dawson","K26","","","","309","","","418.0"
"365","Damien Williams","CHI","9","RB108","","","","","","","310.0"
"366","Josh McCown","QB40","","","","310","","","372.0"
"367","Joique Bell","RB109","","","","","","","311.0"
"368","Marques Colston","WR119","","","","","","","312.0"
"369","Jacquizz Rodgers","RB110","","","","","","","313.0"
"370","Chris Boyd","WR120","","","","313","","","339.0"
"371","Rashad Greene","WR121","","","","315","","","329.5"
"372","Orleans Darkwa","RB111","","","","","","","316.0"
"373","Josh Huff","WR122","","","","316","","","342.0"
"374","Jordan Todman","RB112","","","","","","","317.0"
"375","Nick Folk","NE","9","K27","","","","318","","","426.5"
"376","Ryan Succop","TB","6","K28","","","","319","","","319.0"
"377","Greg Zuerlein","DAL","7","K29","","","","320","","","424.0"
"378","Juwan Thompson","RB113","","","","","","","321.0"
"379","Brian Hoyer","NE","9","QB41","","","","321","","","367.5"
"380","Seyi Ajirotutu","WR123","","","","","","","322.0"
"381","Mario Alford","WR124","","","","","","","323.0"
"382","Mike Davis","ATL","11","RB114","","","","","","","324.0"
"383","Miles Austin","WR125","","","","","","","326.0"
"384","Adam Humphries","WAS","9","WR126","","","","","","","327.0"
"385","Jason Avant","WR127","","","","","","","328.0"
"386","Quincy Enunwa","WR128","","","","","","","330.0"
"387","Matt Asiata","RB115","","","","","","","331.0"
"388","Jeremy Kerley","WR129","","","","","","","332.0"
"389","Ty Montgomery","NO","5","RB116","","","","","","","333.0"
"390","Rex Burkhead","HOU","9","RB117","","","","","","","334.0"
"391","Roy Helu","RB118","","","","","","","335.0"
"392","Fozzy Whittaker","RB119","","","","","","","336.0"
"393","Rashard Higgins","CLE","13","WR130","","","","","","","338.0"
"394","Jalen Richard","LV","","RB120","","","","","","","339.0"
"395","Albert Wilson","MIA","8","WR131","","","","","","","340.0"
"396","Cody Latimer","WR132","","","","","","","343.0"
"397","Marcel Reece","RB121","","","","","","","346.0"
"398","Devin Smith","WR133","","","","","","","347.0"
"399","Jarius Wright","WR134","","","","","","","348.0"
"400","Corey Brown","WR135","","","","","","","349.0"
"401","Jaron Brown","ARI","9","WR136","","","","","","","350.0"
"402","Paul Richardson Jr.","WR137","","","","","","","351.0"
"403","Tavarres King","WR138","","","","","","","352.0"
"404","George Atkinson III","RB122","","","","","","","353.0"
"405","Rod Streater","WR139","","","","","","","354.0"
