"Rank","Player","Team","Bye","POS","ESPN","RTSports","MFL","Fantrax","FFC","Sleeper","AVG"
"212","Kai Forbath","LAR","","K14","","318","258","","190","","244.5"
"213","Ryan Williams","RB69","","202","192","","","","214.0"
"214","Kenny Stills","NO","7","WR64","","222","228","","","","216.0"
"215","Rod Streater","WR65","","208","211","","","","217.0"
"216","Robert Woods","LAR","","WR66","","234","197","","","","218.0"
"217","Robert Turbin","RB70","","196","218","","","","218.3"
"218","Felix Jones","RB71","","193","269","","","","219.0"
"219","Brandon Weeden","QB27","","225","208","","","","221.3"
"220","Santonio Holmes","WR67","","241","209","","","","222.0"
"221","Markus Wheaton","WR68","","249","201","","","","222.3"
"222","Jacoby Jones","WR69","","258","214","","","","222.7"
"223","Marcus Lattimore","RB72","","154","203","","","","223.3"
"224","New York Giants","DST","9","DST16","","283","204","","","","226.3"
"225","Dustin Keller","TE27","","152","191","","","","259.7"
"226","Quinton Patton","WR70","","226","247","","","","229.3"
"227","Riley Cooper","WR71","","229","242","","","","229.7"
"228","Atlanta Falcons","DST","6","DST17","","280","216","","","","231.7"
"229","Toby Gerhart","RB73","","206","266","","","","232.7"
"230","Marcedes Lewis","GB","4","TE28","","236","245","","","","234.3"
"231","Santana Moss","WR72","","242","249","","","","234.7"
"232","Mike Tolbert","RB74","","213","293","","","","238.3"
"233","Dennis Pitta","TE29","","","93","","","","191.0"
"234","Aaron Hernandez","TE30","","","49","","","","200.0"
"235","Dexter McCluster","RB75","","218","279","","","","241.7"
"236","Brian Quick","WR73","","221","226","","","","241.7"
"237","Michael Turner","RB76","","148","311","","","","242.3"
"238","Jeremy Maclin","WR74","","","96","","","","195.5"
"239","Stepfan Taylor","RB77","","235","255","","","","245.3"
"240","Keenan Allen","LAC","","WR75","","270","207","","","","246.0"
"241","Stephen Hill","WR76","","275","225","","","","246.0"
"242","Brandon Lloyd","WR77","","175","283","","","","246.3"
"243","Stephen Hauschka","K15","","305","240","","","","246.3"
"244","Danario Alexander","WR78","","","95","","","","201.5"
"245","Zach Miller","TE31","","274","235","","","","247.3"
"246","Zach Ertz","ARI","9","TE32","","252","233","","","","248.0"
"247","Minnesota Vikings","DST","5","DST18","","298","230","","","","249.0"
"248","Rashad Jennings","RB78","","211","291","","","","251.3"
"249","Mike Gillislee","RB79","","149","274","","","","252.0"
"250","Donnie Avery","WR79","","243","278","","","","252.0"
"251","Jeremy Kerley","WR80","","257","248","","","","252.0"
"252","Josh Brown","K16","","321","254","","","","253.3"
"253","Scott Chandler","TE33","","228","300","","","","255.7"
"254","Nate Washington","WR81","","237","290","","","","256.7"
"255","Los Angeles Chargers","DST","","DST19","","306","243","","","","258.7"
"256","DuJuan Harris","RB80","","203","238","","","","220.5"
"257","Lance Dunbar","RB81","","271","259","","","","259.7"
"258","Willis McGahee","RB82","","220","262","","","","260.7"
"259","Terrelle Pryor Sr.","WR82","","261","267","","","","260.7"
"260","Jake Ballard","TE34","","173","271","","","","285.0"
"261","Washington Football Team","DST","5","DST20","","313","237","","","","262.0"
"262","Nate Burleson","WR83","","251","282","","","","263.3"
"263","Marquise Goodwin","CHI","8","WR84","","115","","","","","244.0"
"264","Robbie Gould","SF","9","K17","","326","246","","","","264.0"
"265","Detroit Lions","DST","9","DST21","","302","232","","","","264.0"
"266","Jake Locker","QB28","","320","213","","","","265.0"
"267","Christian Ponder","QB29","","295","231","","","","265.3"
"268","Carolina Panthers","DST","4","DST22","","299","250","","","","265.3"
