"Rank","Player","Team","Position","Points","Games","Avg"
"550","Cameron Artis-Payne","CAR","RB","3.6","3","1.2"
"551","David Williams","Multi","RB","3.4","3","1.1"
"552","Jamaal Charles","JAC","RB","3.4","2","1.7"
"552","Sean Culkin","LAC","TE","3.4","2","1.7"
"554","Jamize Olawale","DAL","RB","3.3","10","0.3"
"554","Joe Webb III","HOU","QB","3.3","5","0.7"
"554","Brandon Zylstra","MIN","WR","3.3","4","0.8"
"554","Tyrone Swoopes","SEA","TE","3.3","1","3.3"
"558","Hakeem Valles","Multi","TE","3.1","2","1.6"
"559","Alan Cross","TB","TE","2.9","6","0.5"
"560","Dion Sims","CHI","TE","2.9","3","1.0"
"561","Jeremy Kerley","BUF","WR","2.7","1","2.7"
"562","Benny Cunningham Jr.","CHI","RB","2.6","10","0.3"
"563","Tim White","BAL","WR","2.4","3","0.8"
"564","Josh Malone","CIN","WR","2.2","3","0.7"
"564","Sammie Coates","HOU","WR","2.2","4","0.6"
"566","Victor Bolden Jr.","Multi","WR","2.0","2","1.0"
"566","Justin Hardee","NO","WR","2.0","11","0.2"
"568","John Phillips","ARI","TE","1.9","1","1.9"
"568","Cam Phillips","BUF","WR","1.9","2","1.0"
"568","Justin Davis","LAR","RB","1.9","4","0.5"
"571","Ross Dwelley","SF","TE","1.8","3","0.6"
"571","Keon Hatcher","Multi","WR","1.8","2","0.9"
"571","Damiere Byrd","CAR","WR","1.8","7","0.3"
"574","Jonathan Stewart","NYG","RB","1.7","3","0.6"
"574","Matt Cassel","DET","QB","1.7","2","0.9"
"576","Richard Rodgers","PHI","TE","1.7","3","0.6"
"576","Marcus Kemp","KC","WR","1.7","6","0.3"
"578","Michael Burton","CHI","RB","1.6","3","0.5"
"579","David Fluellen","TEN","RB","1.6","4","0.4"
"580","Derek Watt","LAC","RB","1.5","7","0.2"
"580","Kyle Allen","CAR","QB","1.5","1","1.5"
"580","Brandon Wilds","Multi","RB","1.5","3","0.5"
"580","Justin Watson","TB","WR","1.5","6","0.3"
"580","Khari Lee","BUF","TE","1.5","1","1.5"
"585","Danny Vitale","Multi","RB","1.2","1","1.2"
"585","Darrius Heyward-Bey","PIT","WR","1.2","8","0.2"
"587","Matt Schaub","ATL","QB","1.1","2","0.6"
"588","Jonathan Williams","Multi","RB","1.1","3","0.4"
"589","Christine Michael","IND","RB","0.9","1","0.9"
"589","Joshua Dobbs","PIT","QB","0.9","5","0.2"
"591","J.D. McKissic","SEA","RB","0.8","3","0.3"
"591","Robert Griffin III","BAL","QB","0.8","2","0.4"
